"","word","JE.freq","JE.prop","WH.freq","WH.prop","dProp","dAbs"
"1375","retir",21,0.00862777321281841,16,0.00896358543417367,-0.000335812221355264,0.000335812221355264
"1376","roof",21,0.00862777321281841,16,0.00896358543417367,-0.000335812221355264,0.000335812221355264
"1377","instant",36,0.0147904683648316,27,0.0151260504201681,-0.000335582055336514,0.000335582055336514
"1378","play",43,0.0176663927691044,31,0.0173669467787115,0.000299445990392871,0.000299445990392871
"1379","lead",13,0.00534100246507806,9,0.00504201680672269,0.000298985658355372,0.000298985658355372
"1380","shudder",13,0.00534100246507806,9,0.00504201680672269,0.000298985658355372,0.000298985658355372
"1381","heath",17,0.00698438783894823,13,0.00728291316526611,-0.000298525326317873,0.000298525326317873
"1382","spent",17,0.00698438783894823,13,0.00728291316526611,-0.000298525326317873,0.000298525326317873
"1383","warm",32,0.0131470829909614,24,0.0134453781512605,-0.000298295160299125,0.000298295160299125
"1384","person",62,0.0254724732949877,46,0.0257703081232493,-0.000297834828261623,0.000297834828261623
"1385","memori",17,0.00698438783894823,12,0.00672268907563025,0.000261698763317981,0.000261698763317981
"1386","news",17,0.00698438783894823,12,0.00672268907563025,0.000261698763317981,0.000261698763317981
"1387","curious",13,0.00534100246507806,10,0.00560224089635854,-0.000261238431280482,0.000261238431280482
"1388","engag",13,0.00534100246507806,10,0.00560224089635854,-0.000261238431280482,0.000261238431280482
"1389","swallow",13,0.00534100246507806,10,0.00560224089635854,-0.000261238431280482,0.000261238431280482
"1390","start",28,0.0115036976170912,21,0.0117647058823529,-0.000261008265261733,0.000261008265261733
"1391","mine",73,0.0299917830731306,54,0.0302521008403361,-0.000260317767205486,0.000260317767205486
"1392","shut",51,0.0209531635168447,37,0.0207282913165266,0.000224872200318089,0.000224872200318089
"1393","bottom",9,0.00369761709120789,7,0.00392156862745098,-0.000223951536243092,0.000223951536243092
"1394","enclos",9,0.00369761709120789,7,0.00392156862745098,-0.000223951536243092,0.000223951536243092
"1395","learnt",9,0.00369761709120789,7,0.00392156862745098,-0.000223951536243092,0.000223951536243092
"1396","valu",9,0.00369761709120789,7,0.00392156862745098,-0.000223951536243092,0.000223951536243092
"1397","wine",9,0.00369761709120789,7,0.00392156862745098,-0.000223951536243092,0.000223951536243092
